Registro_ANS;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS
"419761";"19541931S/NS/NS/N125";"18 DE JULHO ADMINISTRADORA DE BENEFÍCIOS LTDA";;"Administradora de Benefícios";"RUA CAPITÃO MEDEIROS DE REZENDE";"274";;"PRAÇA DA BANDEIRA";"Além Paraíba";"MG";"3666S/NS/NS/NS/N";"32";"34624649";;"contabilidade@cbnassessoria.com.br";"LUIZ HENRIQUE MARENDINO GONÇALVES";"SÓCIO ADMINISTRADOR";6;"2S/N15-S/N5-19"
"421545";"22869997S/NS/NS/N153";"2B ODONTOLOGIA OPERADORA DE PLANOS ODONTOLÓGICOS LTDA";;"Odontologia de Grupo";"RUA CATÃO";"128";"SALA 126";"VILA ROMANA";"São Paulo";"SP";"S/N5S/N49S/NS/NS/N";"11";"34415852";;"labmarisol@gmail.com";"MARISOL BECHELLI";"SÓCIO ADMINISTRADORA";4;"2S/N19-S/N6-13"
"421421";"27452545S/NS/NS/N195";"2CARE OPERADORA DE SAÚDE LTDA.";;"Medicina de Grupo";"RUA: BERNARDINO DE CAMPOS";"23S/N";"1º ANDAR";"CENTRO";"Campinas";"SP";"13S/N1S/N151";"19";"379S/N1224";;"ans.plano@hospitalcare.com.br";"RODRIGO PINHO RIBEIRO";"REPRESENTANTE";5;"2S/N18-1S/N-S/N9"
"4229S/N8";"41788751S/NS/NS/N1S/NS/N";"3S ADMINISTRADORA DE BENEFICIOS LTDA";"3S ADMINISTRADORA DE BENEFICIOS";"Administradora de Benefícios";"RUA ITÁLIA";"33";"SALA 6";"JARDIM BONFIGLIOLI";"Jundiaí";"SP";"132S/N728S/N";"11";"42263247";;"pietrorocchi37@gmail.com";"ANAMELIA MONTEIRO GUERRA ROCCHI";"SÓCIO ADMINISTRADOR";6;"2S/N21-S/N7-12"
"418S/N3S/N";"13138885S/NS/NS/N131";"A.P.S. ADMINISTRADORA DE BENEFÍCOS LTDA.";"A.P.S. SAÚDE.";"Administradora de Benefícios";"RUA VOLUNTÁRIOS DA PÁTRIA";"2525";"CONJUNTO 143 - SALA S/N1";"SANTANA";"São Paulo";"SP";"S/N24S/N1S/NS/NS/N";"11";"45223468";;"diretoria@apssaude.com.br";"PERCÍVEL GAETA";"SóCIO-ADMINISTRADOR E REPRESEN";4;"2S/N11-S/N5-S/N5"
"314668";"175S/N5793S/NS/NS/N1S/N1";"ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL";"ABERTTA SAÚDE";"Autogestão";"AV. BERNARDO MONTEIRO";"831";"Subsolo. 2º andar e 3º andar";"SANTA EFIGÊNIA";"Belo Horizonte";"MG";"3S/N15S/N281";"31";"324843S/NS/N";"32484377";"abertta.ans@arcelormittal.com.br";"RICARDO DUPIN LUSTOSA";"Diretor Presidente";4;"1998-12-28"
"419621";"17687511S/NS/NS/N126";"ABPLUS ADMINISTRADORA DE BENEFÍCIOS LTDA.";;"Administradora de Benefícios";"AVENIDA JOSÉ DA SILVA NETO";"2S/NS/N";"BLOCO 4. SALA 4S/N3";"BARRA DA TIJUCA";"Rio de Janeiro";"RJ";"22775S/N56";;;;"contato@abplus.com.br";"ROBERTO CARLOS MACHADO RODRIGUES";"ADMINISTRADOR";6;"2S/N14-11-13"
"424242";"56298884S/NS/NS/N167";"ABRANGE ADMINISTRADORA DE BENEFICIOS LTDA.";"ABRANGE SAÚDE";"Administradora de Benefícios";"RUA CEL. JOSÉ EUSEBIO";"95.S/N";"SALA 13";"HIGIENOPOLIS";"São Paulo";"SP";"S/N1239S/N3S/N";"11";"92S/N5544S/NS/N";;"dayanasantos@abrangesaude.com.br";"DAYANA DOS SANTOSDE BRITO FLORÊNCIO";"ADMINISTRADORA";;"2S/N25-S/N1-S/N6"
"4189S/N1";"1S/N458298S/NS/NS/N131";"AD SALUTE ADMINISTRADORA DE BENEFÍCIOS LTDA";"AD SALUTE";"Administradora de Benefícios";"RUA BUENOS AIRES";"68";"SALA 29S/N1";"CENTRO";"Rio de Janeiro";"RJ";"2S/NS/N7S/NS/N2S/N";"21";"35531692";;"LEONARDO@UNIMEDICASAUDE.COM";"JOÃO CARMO DA SILVEIRA";"ADMINISTRADOR";5;"2S/N13-S/N6-13"
"421553";"28315826S/NS/NS/N169";"ADM LIFE - ADMINISTRADORA DE BENEFÍCIOS LTDA.";"ADM LIFE";"Administradora de Benefícios";"AVENIDA PEDROSO DE MORAIS";"272";"CJ 96";"PINHEIROS";"São Paulo";"SP";"S/N542S/NS/NS/NS/N";"11";"994755S/N3";;"cristiane@admlife.com.br";"NELITO JÚNIOR DE ALMEIDA SILVA";"Sócio Administrador";4;"2S/N19-S/N1-S/N9"
